Name,Email,Country,Hours_Studied,Marks,Attendance_%,Assignments_Score,Final_Grade
Student_711,student711@example.com,Brazil,1.72,81.83,87.03,61.64,C
Student_712,student712@example.com,Japan,9.7,99.03,59.29,98.26,A
Student_713,student713@example.com,Canada,6.81,58.93,76.97,54.51,D
Student_714,student714@example.com,USA,4.07,58.2,98.14,61.81,C
Student_715,student715@example.com,UK,8.08,31.31,82.51,74.73,D
Student_716,student716@example.com,UK,8.28,61.67,58.71,43.1,D
Student_717,student717@example.com,Japan,1.19,74.58,86.4,85.51,D
Student_718,student718@example.com,UK,1.33,36.78,59.88,65.07,C
Student_719,student719@example.com,India,2.63,46.61,94.54,74.76,D
Student_720,student720@example.com,India,4.27,86.25,70.78,63.55,A
Student_721,student721@example.com,UK,5.21,67.0,81.16,52.65,A
Student_722,student722@example.com,India,1.92,31.27,58.74,63.78,B
Student_723,student723@example.com,Germany,9.45,49.06,77.88,96.42,D
Student_724,student724@example.com,Japan,9.52,33.01,52.98,91.25,A
Student_725,student725@example.com,Australia,5.91,86.56,63.43,75.29,A
Student_726,student726@example.com,UK,3.57,83.48,64.9,61.31,B
Student_727,student727@example.com,Australia,6.51,55.5,98.0,72.66,B
Student_728,student728@example.com,UK,7.48,81.41,98.17,73.22,A
Student_729,student729@example.com,Brazil,3.11,35.98,90.19,75.58,C
Student_730,student730@example.com,Germany,6.78,79.56,93.42,51.16,A
Student_731,student731@example.com,India,3.5,35.49,93.05,40.31,C
Student_732,student732@example.com,India,5.63,50.4,92.45,54.22,C
Student_733,student733@example.com,UK,4.51,40.79,57.18,69.97,B
Student_734,student734@example.com,Australia,2.01,99.19,87.91,51.54,B
Student_735,student735@example.com,Japan,1.23,35.96,80.77,66.67,A
Student_736,student736@example.com,Canada,4.69,72.91,74.44,94.98,C
Student_737,student737@example.com,Canada,9.56,45.83,98.75,63.18,D
Student_738,student738@example.com,UK,2.27,68.31,94.63,59.81,C
Student_739,student739@example.com,Australia,8.88,90.95,81.8,48.98,C
Student_740,student740@example.com,Australia,1.57,97.81,77.02,69.96,B
Student_741,student741@example.com,India,1.06,45.04,60.48,81.65,B
Student_742,student742@example.com,Australia,8.56,91.15,55.38,45.59,D
Student_743,student743@example.com,Brazil,6.95,44.51,98.92,80.59,D
Student_744,student744@example.com,Brazil,9.0,33.61,77.39,60.52,C
Student_745,student745@example.com,Germany,2.41,92.46,87.92,93.21,D
Student_746,student746@example.com,UK,1.72,48.08,84.96,74.72,B
Student_747,student747@example.com,India,7.0,74.08,87.91,89.88,C
Student_748,student748@example.com,Canada,3.57,92.68,50.37,81.1,C
Student_749,student749@example.com,Japan,7.98,54.96,95.45,76.93,C
Student_750,student750@example.com,Australia,4.71,93.13,73.3,61.78,A
Student_751,student751@example.com,UK,6.67,30.43,62.21,93.34,A
Student_752,student752@example.com,UK,1.54,89.29,81.05,65.47,C
Student_753,student753@example.com,Canada,8.99,99.16,66.59,44.5,C
Student_754,student754@example.com,Brazil,8.09,60.26,74.47,73.27,D
Student_755,student755@example.com,Germany,9.72,85.96,90.25,88.26,A
Student_756,student756@example.com,USA,4.13,89.85,69.75,43.02,D
Student_757,student757@example.com,Brazil,2.46,46.44,84.53,40.96,C
Student_758,student758@example.com,Brazil,3.96,72.6,69.31,68.19,C
Student_759,student759@example.com,Canada,8.32,31.71,90.58,72.23,B
Student_760,student760@example.com,India,9.23,58.61,56.88,90.4,D
Student_761,student761@example.com,USA,1.58,30.46,99.76,86.72,A
Student_762,student762@example.com,Japan,3.6,92.17,55.56,74.23,A
Student_763,student763@example.com,Canada,2.08,70.09,64.06,70.55,C
Student_764,student764@example.com,Germany,5.91,92.35,88.8,90.12,D
Student_765,student765@example.com,Brazil,7.87,50.28,99.19,94.99,B
Student_766,student766@example.com,India,7.14,89.8,54.53,95.14,D
Student_767,student767@example.com,India,2.04,73.5,90.05,49.02,A
Student_768,student768@example.com,India,3.83,37.51,78.17,60.88,A
Student_769,student769@example.com,UK,4.4,39.35,61.15,41.45,D
Student_770,student770@example.com,Japan,7.12,37.14,96.09,62.72,D
Student_771,student771@example.com,USA,1.81,34.87,65.29,59.83,D
Student_772,student772@example.com,Canada,1.08,88.25,50.78,56.84,D
Student_773,student773@example.com,India,9.08,92.82,77.41,42.37,B
Student_774,student774@example.com,USA,2.72,73.68,59.49,56.18,B
Student_775,student775@example.com,Brazil,9.08,33.73,79.28,63.66,A
Student_776,student776@example.com,India,2.61,87.76,51.29,45.76,D
Student_777,student777@example.com,Germany,7.01,69.55,81.46,40.62,D
Student_778,student778@example.com,India,9.23,97.75,91.63,80.51,D
Student_779,student779@example.com,Brazil,2.6,97.72,54.34,70.05,C
Student_780,student780@example.com,Brazil,9.93,81.1,85.66,89.05,D
Student_781,student781@example.com,India,2.89,50.69,90.79,50.29,D
Student_782,student782@example.com,UK,4.15,38.35,92.45,46.28,D
Student_783,student783@example.com,India,4.5,88.61,52.66,83.41,B
Student_784,student784@example.com,India,4.0,75.43,61.24,85.15,D
Student_785,student785@example.com,Australia,2.48,75.36,54.1,81.27,D
Student_786,student786@example.com,India,7.15,68.85,85.67,65.53,B
Student_787,student787@example.com,Brazil,8.64,30.11,83.95,70.5,C
Student_788,student788@example.com,Australia,9.19,74.93,67.08,71.32,C
Student_789,student789@example.com,Japan,9.78,45.7,92.35,75.32,C
Student_790,student790@example.com,USA,2.47,32.0,63.66,44.94,D
Student_791,student791@example.com,India,9.76,85.07,99.03,92.31,C
Student_792,student792@example.com,India,6.71,70.96,77.19,95.42,C
Student_793,student793@example.com,India,9.9,43.73,76.73,57.42,C
Student_794,student794@example.com,Germany,5.77,93.06,91.86,59.28,D
Student_795,student795@example.com,USA,6.33,37.97,93.51,92.61,D
Student_796,student796@example.com,UK,8.25,61.18,83.1,97.98,C
Student_797,student797@example.com,Japan,4.61,94.77,84.33,88.65,C
Student_798,student798@example.com,Brazil,4.82,47.04,87.41,85.36,A
Student_799,student799@example.com,Brazil,1.13,33.46,70.46,78.83,B
Student_800,student800@example.com,Brazil,7.52,50.92,80.12,92.54,B
Student_801,student801@example.com,India,7.13,88.55,77.91,85.61,C
Student_802,student802@example.com,Germany,9.47,92.22,93.34,63.45,A
Student_803,student803@example.com,Germany,8.02,68.28,86.46,66.18,A
Student_804,student804@example.com,Australia,9.88,93.5,86.74,99.53,C
Student_805,student805@example.com,USA,8.99,76.0,74.68,80.81,C
Student_806,student806@example.com,Australia,3.71,92.55,84.53,78.58,D
Student_807,student807@example.com,Canada,9.48,76.9,56.04,92.07,C
Student_808,student808@example.com,India,5.76,90.68,95.71,88.31,D
Student_809,student809@example.com,Japan,5.6,32.85,92.47,53.48,A
Student_810,student810@example.com,Brazil,2.85,99.3,91.2,77.02,C
Student_811,student811@example.com,Japan,5.85,76.73,91.94,89.1,C
Student_812,student812@example.com,India,7.1,37.9,97.83,80.97,C
Student_813,student813@example.com,Japan,6.55,30.3,64.05,70.68,A
Student_814,student814@example.com,Australia,2.91,71.89,58.9,75.79,D
Student_815,student815@example.com,USA,8.66,80.19,58.84,79.76,A
Student_816,student816@example.com,USA,1.41,55.83,57.09,42.46,D
Student_817,student817@example.com,Australia,9.21,40.44,55.36,71.09,B
Student_818,student818@example.com,Germany,3.64,75.3,77.42,56.73,D
Student_819,student819@example.com,India,9.31,84.94,54.26,70.0,C
Student_820,student820@example.com,Brazil,4.73,58.31,76.25,59.46,B
Student_821,student821@example.com,India,4.35,53.64,86.21,60.1,A
Student_822,student822@example.com,Canada,6.72,66.83,64.96,88.9,B
Student_823,student823@example.com,India,6.02,31.82,66.53,78.1,B
Student_824,student824@example.com,USA,8.61,79.27,74.71,57.69,D
Student_825,student825@example.com,Canada,4.68,44.53,52.03,44.77,D
Student_826,student826@example.com,Canada,8.82,46.09,82.22,55.65,A
Student_827,student827@example.com,Canada,5.69,51.19,81.92,72.27,A
Student_828,student828@example.com,USA,7.53,99.87,50.89,63.54,A
Student_829,student829@example.com,Germany,5.65,53.62,88.26,47.19,A
Student_830,student830@example.com,Brazil,8.6,72.11,77.49,97.21,B
Student_831,student831@example.com,Germany,3.2,62.93,91.88,80.03,B
Student_832,student832@example.com,Australia,9.65,51.02,86.63,51.12,D
Student_833,student833@example.com,Australia,9.21,64.2,59.09,70.88,A
Student_834,student834@example.com,USA,8.56,49.16,53.62,40.53,A
Student_835,student835@example.com,USA,5.53,54.92,82.29,52.13,C
Student_836,student836@example.com,India,9.64,74.81,56.75,63.47,C
Student_837,student837@example.com,Canada,2.36,69.91,96.76,43.3,A
Student_838,student838@example.com,India,3.27,94.33,99.87,81.54,D
Student_839,student839@example.com,Australia,9.93,47.29,81.58,85.11,A
Student_840,student840@example.com,India,9.26,64.87,87.93,40.05,C
Student_841,student841@example.com,India,5.95,57.16,55.94,97.91,D
Student_842,student842@example.com,Japan,9.36,82.71,86.76,81.15,A
Student_843,student843@example.com,UK,5.93,55.93,90.63,56.68,B
Student_844,student844@example.com,Canada,3.92,80.94,61.09,44.29,A
Student_845,student845@example.com,Brazil,4.05,43.0,95.41,97.93,B
Student_846,student846@example.com,Brazil,9.76,37.27,55.3,48.77,C
Student_847,student847@example.com,Japan,5.1,60.88,63.49,89.09,A
Student_848,student848@example.com,Canada,3.41,36.23,85.67,55.78,C
Student_849,student849@example.com,Brazil,3.7,52.55,73.86,67.48,D
Student_850,student850@example.com,Brazil,6.96,35.53,63.25,89.13,D
Student_851,student851@example.com,USA,2.71,48.24,99.7,46.15,A
Student_852,student852@example.com,UK,2.45,66.28,87.08,74.64,A
Student_853,student853@example.com,Canada,6.51,94.04,58.71,48.68,A
Student_854,student854@example.com,Australia,3.86,88.12,82.87,95.19,B
Student_855,student855@example.com,USA,7.7,86.33,77.22,58.25,A
Student_856,student856@example.com,Canada,6.2,87.8,91.62,87.45,D
Student_857,student857@example.com,Brazil,1.44,75.17,56.41,59.48,C
Student_858,student858@example.com,India,9.99,36.29,75.09,88.97,D
Student_859,student859@example.com,Germany,7.39,67.38,70.12,49.86,A
Student_860,student860@example.com,Canada,3.12,30.6,62.27,47.75,B
Student_861,student861@example.com,UK,1.81,47.3,56.35,85.29,C
Student_862,student862@example.com,Germany,8.69,72.73,51.06,47.38,D
Student_863,student863@example.com,Canada,4.96,98.79,95.57,87.74,B
Student_864,student864@example.com,India,6.69,37.62,66.77,82.67,C
Student_865,student865@example.com,Canada,7.58,41.28,76.63,68.74,D
Student_866,student866@example.com,Brazil,1.43,70.73,89.62,92.33,C
Student_867,student867@example.com,Japan,2.65,89.74,71.98,93.97,A
Student_868,student868@example.com,Japan,6.15,65.19,78.34,47.98,C
Student_869,student869@example.com,Germany,6.77,61.58,69.74,98.25,B
Student_870,student870@example.com,USA,9.0,32.52,70.15,56.25,A
Student_871,student871@example.com,Germany,3.37,79.77,94.18,47.13,C
Student_872,student872@example.com,UK,4.12,78.02,57.62,53.39,D
Student_873,student873@example.com,Japan,2.11,31.53,92.67,98.59,D
Student_874,student874@example.com,Japan,4.39,71.64,59.8,53.87,C
Student_875,student875@example.com,India,7.69,74.61,91.11,79.37,D
Student_876,student876@example.com,Brazil,2.99,56.95,91.31,57.71,D
Student_877,student877@example.com,USA,4.53,65.87,58.52,59.84,D
Student_878,student878@example.com,UK,8.25,60.84,96.33,95.7,A
Student_879,student879@example.com,USA,2.13,77.47,73.58,75.0,C
Student_880,student880@example.com,Canada,3.46,80.38,73.97,83.94,D
Student_881,student881@example.com,UK,8.1,97.55,64.93,70.49,C
Student_882,student882@example.com,Japan,6.2,62.79,86.56,47.68,A
Student_883,student883@example.com,Brazil,1.92,95.04,99.85,82.03,B
Student_884,student884@example.com,Japan,4.74,96.29,83.6,99.73,A
Student_885,student885@example.com,Germany,4.49,74.77,89.81,88.45,A
Student_886,student886@example.com,Japan,3.89,81.12,65.12,42.11,D
Student_887,student887@example.com,USA,8.46,98.11,59.69,69.21,B
Student_888,student888@example.com,Australia,8.19,97.27,81.74,75.69,A
Student_889,student889@example.com,Canada,5.91,89.02,85.82,83.15,D
Student_890,student890@example.com,UK,9.29,75.48,86.51,75.05,A
Student_891,student891@example.com,Australia,4.5,37.48,63.8,74.29,B
Student_892,student892@example.com,Brazil,7.22,65.74,81.43,53.28,C
Student_893,student893@example.com,Canada,5.18,55.74,77.26,95.9,C
Student_894,student894@example.com,Canada,1.79,33.58,50.79,71.63,B
Student_895,student895@example.com,Australia,9.43,86.09,98.38,70.76,B
Student_896,student896@example.com,Australia,3.07,76.05,59.7,46.05,C
Student_897,student897@example.com,India,2.19,81.85,64.97,95.87,D
Student_898,student898@example.com,India,1.31,74.17,90.73,62.75,C
Student_899,student899@example.com,Germany,7.54,30.55,56.23,69.06,B
Student_900,student900@example.com,Japan,4.97,75.24,65.85,93.86,A
Student_901,student901@example.com,Japan,7.29,95.21,70.4,89.24,A
Student_902,student902@example.com,UK,8.41,62.58,93.87,44.76,C
Student_903,student903@example.com,India,9.89,49.34,56.4,98.39,C
Student_904,student904@example.com,UK,1.27,36.82,69.52,91.0,A
Student_905,student905@example.com,Japan,4.2,59.3,59.53,91.83,B
Student_906,student906@example.com,Brazil,1.29,90.3,51.04,46.53,A
Student_907,student907@example.com,Germany,9.74,33.73,56.76,51.01,A
Student_908,student908@example.com,India,2.33,92.13,80.49,69.73,B
Student_909,student909@example.com,Canada,1.39,68.47,85.8,49.37,B
Student_910,student910@example.com,USA,2.81,96.74,82.86,69.42,B
Student_911,student911@example.com,India,9.83,63.51,77.15,55.52,B
Student_912,student912@example.com,UK,7.57,34.82,59.12,73.55,D
Student_913,student913@example.com,Germany,5.8,92.21,89.96,44.05,A
Student_914,student914@example.com,Canada,9.97,48.5,84.24,69.46,D
Student_915,student915@example.com,USA,6.27,31.71,87.05,62.82,D
Student_916,student916@example.com,Canada,2.18,83.28,64.36,60.67,C
Student_917,student917@example.com,Germany,6.32,59.45,79.02,49.55,B
Student_918,student918@example.com,USA,1.06,70.02,65.97,45.74,D
Student_919,student919@example.com,Japan,5.93,78.37,84.96,72.53,D
Student_920,student920@example.com,Canada,8.31,37.74,61.48,91.88,A
Student_921,student921@example.com,India,8.01,71.65,98.39,92.36,D
Student_922,student922@example.com,Australia,3.88,32.15,73.22,63.8,A
Student_923,student923@example.com,India,3.29,88.74,54.91,57.78,C
Student_924,student924@example.com,USA,9.29,94.63,94.71,46.28,D
Student_925,student925@example.com,Japan,4.55,77.08,77.18,73.77,B
Student_926,student926@example.com,Japan,5.98,84.44,84.7,98.72,B
Student_927,student927@example.com,Brazil,6.36,83.01,52.4,74.04,C
Student_928,student928@example.com,UK,2.95,93.79,62.22,72.57,B
Student_929,student929@example.com,USA,2.39,99.75,87.07,78.42,D
Student_930,student930@example.com,USA,5.67,40.61,75.81,81.87,B
Student_931,student931@example.com,Brazil,4.99,46.47,73.28,88.41,B
Student_932,student932@example.com,USA,3.74,52.72,90.16,81.19,B
Student_933,student933@example.com,Canada,7.04,78.27,81.92,62.58,B
Student_934,student934@example.com,India,8.45,45.55,88.64,62.79,B
Student_935,student935@example.com,Canada,9.73,63.08,88.68,64.37,B
Student_936,student936@example.com,Canada,3.94,49.23,62.29,41.39,A
Student_937,student937@example.com,USA,9.38,57.64,98.99,96.31,A
Student_938,student938@example.com,UK,1.75,58.18,97.71,75.24,A
Student_939,student939@example.com,Canada,9.32,48.61,74.27,50.61,D
Student_940,student940@example.com,Australia,1.47,37.68,79.16,95.52,A
Student_941,student941@example.com,Australia,1.34,93.55,58.97,57.46,C
Student_942,student942@example.com,Canada,3.26,45.26,51.25,96.86,A
Student_943,student943@example.com,Australia,3.69,38.99,94.56,57.3,A
Student_944,student944@example.com,Australia,5.88,61.82,97.18,78.55,A
Student_945,student945@example.com,Germany,5.63,62.13,98.14,51.39,D
Student_946,student946@example.com,UK,4.34,49.45,62.18,67.65,A
Student_947,student947@example.com,UK,9.73,72.67,79.06,92.82,D
Student_948,student948@example.com,Brazil,9.99,46.54,96.14,91.45,C
Student_949,student949@example.com,Japan,2.68,48.25,88.82,51.15,C
Student_950,student950@example.com,Germany,8.0,80.27,67.33,92.33,D
Student_951,student951@example.com,USA,3.84,58.75,66.47,59.96,B
Student_952,student952@example.com,USA,9.93,44.91,55.76,90.94,A
Student_953,student953@example.com,USA,2.11,98.27,79.63,50.09,D
Student_954,student954@example.com,USA,4.1,33.47,58.91,56.67,A
Student_955,student955@example.com,Germany,5.67,57.99,93.82,69.59,D
Student_956,student956@example.com,India,4.93,85.51,53.92,59.72,D
Student_957,student957@example.com,Germany,3.66,40.22,80.23,95.85,B
Student_958,student958@example.com,Japan,7.65,54.25,94.57,86.75,C
Student_959,student959@example.com,India,1.31,30.14,57.4,90.72,A
Student_960,student960@example.com,India,2.27,68.93,91.08,43.79,D
Student_961,student961@example.com,UK,8.47,68.43,86.45,85.65,A
Student_962,student962@example.com,India,5.98,63.19,66.98,56.8,B
Student_963,student963@example.com,Brazil,6.7,71.01,94.65,51.84,B
Student_964,student964@example.com,USA,2.24,52.34,57.35,67.48,B
Student_965,student965@example.com,Australia,8.46,50.87,63.76,43.73,C
Student_966,student966@example.com,India,5.73,37.86,72.96,76.46,B
Student_967,student967@example.com,India,3.4,80.28,68.85,70.21,B
Student_968,student968@example.com,Germany,5.18,96.98,97.1,48.92,A
Student_969,student969@example.com,USA,8.72,93.17,90.02,81.39,A
Student_970,student970@example.com,USA,7.65,66.5,63.27,83.0,C
Student_971,student971@example.com,USA,2.3,42.63,61.54,45.64,B
Student_972,student972@example.com,UK,2.68,88.19,92.64,81.91,A
Student_973,student973@example.com,UK,7.37,65.0,68.81,75.26,A
Student_974,student974@example.com,UK,3.55,69.46,78.68,69.34,C
Student_975,student975@example.com,Germany,1.82,80.87,95.39,43.78,A
Student_976,student976@example.com,Australia,7.57,62.86,58.57,60.56,C
Student_977,student977@example.com,Australia,9.54,89.76,50.74,88.97,A
Student_978,student978@example.com,UK,1.52,83.52,75.59,75.35,D
Student_979,student979@example.com,Germany,2.23,43.83,57.27,96.29,A
Student_980,student980@example.com,Canada,5.8,79.1,91.01,51.25,B
Student_981,student981@example.com,USA,5.32,38.83,72.12,93.69,B
Student_982,student982@example.com,UK,9.72,91.86,72.21,46.77,D
Student_983,student983@example.com,UK,4.29,50.96,65.0,83.83,B
Student_984,student984@example.com,UK,5.79,67.5,51.62,64.5,D
Student_985,student985@example.com,Japan,9.36,54.15,62.01,47.25,C
Student_986,student986@example.com,Germany,2.07,75.7,96.74,49.79,A
Student_987,student987@example.com,Brazil,5.86,50.18,50.58,92.56,B
Student_988,student988@example.com,Canada,8.77,63.92,57.33,50.52,B
Student_989,student989@example.com,Australia,5.52,38.4,93.42,80.2,C
Student_990,student990@example.com,Japan,3.28,46.83,89.45,65.92,D
Student_991,student991@example.com,Australia,2.81,39.68,58.07,95.48,B
Student_992,student992@example.com,Canada,7.52,51.49,72.73,72.1,C
Student_993,student993@example.com,USA,4.47,42.69,63.89,69.04,A
Student_994,student994@example.com,Australia,2.87,35.19,82.28,79.47,A
Student_995,student995@example.com,UK,1.55,97.1,94.25,61.39,D
Student_996,student996@example.com,UK,7.34,97.25,71.47,45.0,A
Student_997,student997@example.com,UK,2.12,76.83,61.25,91.44,B
Student_998,student998@example.com,Germany,6.91,56.56,52.3,82.1,A
Student_999,student999@example.com,Brazil,2.99,46.66,96.81,92.12,A
Student_1000,student1000@example.com,Brazil,3.03,96.65,95.95,99.81,B
Student_1001,student1001@example.com,USA,2.24,61.78,83.48,81.26,C
Student_1002,student1002@example.com,UK,8.15,46.9,97.95,96.1,A
Student_1003,student1003@example.com,Germany,4.33,63.84,74.6,76.5,D
Student_1004,student1004@example.com,India,1.14,47.72,94.2,45.18,C
Student_1005,student1005@example.com,Germany,1.67,68.69,87.6,94.14,D
Student_1006,student1006@example.com,UK,1.02,35.84,78.87,78.75,A
Student_1007,student1007@example.com,India,6.74,64.82,99.83,40.76,D
Student_1008,student1008@example.com,India,7.89,95.78,66.94,77.66,D
Student_1009,student1009@example.com,India,7.32,93.39,62.26,75.14,A
Student_1010,student1010@example.com,Australia,6.2,45.09,99.93,77.59,A
Student_1011,student1011@example.com,Brazil,5.81,69.48,62.23,74.2,C
Student_1012,student1012@example.com,Brazil,5.76,67.62,69.44,48.67,B
Student_1013,student1013@example.com,Brazil,3.17,69.5,87.78,53.37,A
Student_1014,student1014@example.com,Australia,5.09,97.1,71.23,72.22,C
Student_1015,student1015@example.com,USA,8.4,99.63,54.92,75.91,C
Student_1016,student1016@example.com,Germany,6.45,52.53,56.16,67.5,B
Student_1017,student1017@example.com,Germany,2.39,99.34,79.73,84.14,A
Student_1018,student1018@example.com,Germany,9.14,88.9,88.28,71.39,D
Student_1019,student1019@example.com,UK,1.81,82.94,55.05,88.15,A
Student_1020,student1020@example.com,Australia,3.89,47.44,70.01,95.53,D
Student_1021,student1021@example.com,Canada,9.29,97.94,61.43,69.49,B
Student_1022,student1022@example.com,Brazil,7.6,73.11,87.12,98.64,C
Student_1023,student1023@example.com,Brazil,5.57,45.42,83.36,79.82,B
Student_1024,student1024@example.com,UK,5.35,61.19,86.6,83.14,B
Student_1025,student1025@example.com,UK,5.87,88.01,71.24,75.07,B
Student_1026,student1026@example.com,Brazil,4.63,36.45,55.21,45.08,D
Student_1027,student1027@example.com,Germany,3.56,54.97,70.26,74.14,C
Student_1028,student1028@example.com,USA,1.03,34.16,76.92,69.03,D
Student_1029,student1029@example.com,UK,5.87,33.11,82.31,93.42,A
Student_1030,student1030@example.com,Brazil,3.63,46.71,96.37,48.77,A
Student_1031,student1031@example.com,UK,2.51,99.45,62.35,66.11,D
Student_1032,student1032@example.com,India,9.05,80.9,68.21,44.14,D
Student_1033,student1033@example.com,Australia,1.07,65.87,83.58,67.79,B
Student_1034,student1034@example.com,Japan,7.12,91.61,98.27,79.6,D
Student_1035,student1035@example.com,Brazil,4.72,33.1,88.38,71.97,B
Student_1036,student1036@example.com,UK,7.97,97.25,50.33,62.1,C
Student_1037,student1037@example.com,Germany,2.36,72.78,97.56,80.33,D
Student_1038,student1038@example.com,USA,4.53,84.18,69.07,48.05,D
Student_1039,student1039@example.com,USA,4.16,82.19,90.64,66.66,D
Student_1040,student1040@example.com,Brazil,7.14,89.23,98.02,91.9,B
Student_1041,student1041@example.com,Japan,5.02,43.7,66.64,89.37,B
Student_1042,student1042@example.com,Australia,7.33,39.67,92.1,53.88,A
Student_1043,student1043@example.com,Japan,2.22,91.32,81.82,88.19,C
Student_1044,student1044@example.com,Brazil,2.27,41.2,75.27,61.04,C
Student_1045,student1045@example.com,Brazil,9.14,85.55,87.41,88.98,B
Student_1046,student1046@example.com,India,5.12,91.92,88.34,89.46,D
Student_1047,student1047@example.com,Japan,3.49,76.75,87.63,56.26,B
Student_1048,student1048@example.com,Germany,1.28,75.17,83.55,71.68,A
Student_1049,student1049@example.com,India,9.53,74.84,55.32,98.0,D
Student_1050,student1050@example.com,Australia,4.52,50.07,82.63,69.83,B
Student_1051,student1051@example.com,Australia,7.32,46.96,87.83,59.42,B
Student_1052,student1052@example.com,Canada,3.63,54.22,59.74,54.4,D
Student_1053,student1053@example.com,Japan,8.39,59.5,92.73,62.88,C
Student_1054,student1054@example.com,Brazil,2.15,91.21,82.8,40.14,A
Student_1055,student1055@example.com,Canada,9.78,71.24,80.75,97.44,A
Student_1056,student1056@example.com,Canada,6.29,82.64,82.28,69.03,A
Student_1057,student1057@example.com,India,3.04,66.14,93.53,44.7,B
Student_1058,student1058@example.com,Australia,6.84,54.14,76.92,75.42,A
Student_1059,student1059@example.com,Japan,5.98,45.94,95.21,68.39,C
Student_1060,student1060@example.com,USA,7.36,38.04,84.06,97.48,B
Student_1061,student1061@example.com,Japan,8.82,96.31,96.98,86.4,B
Student_1062,student1062@example.com,USA,5.26,73.83,93.09,44.92,C
Student_1063,student1063@example.com,Japan,2.58,35.66,99.33,77.98,D
Student_1064,student1064@example.com,Japan,1.94,91.19,85.49,78.82,B
Student_1065,student1065@example.com,India,1.71,98.15,76.17,69.71,C
Student_1066,student1066@example.com,Australia,4.4,46.73,62.69,87.28,B
Student_1067,student1067@example.com,UK,2.27,89.57,92.05,65.24,B
Student_1068,student1068@example.com,Germany,3.43,36.05,90.35,44.09,B
Student_1069,student1069@example.com,Australia,3.14,61.04,87.65,88.92,D
Student_1070,student1070@example.com,India,2.07,37.06,52.63,62.53,C
Student_1071,student1071@example.com,Australia,6.77,33.16,77.05,95.21,D
Student_1072,student1072@example.com,India,5.37,90.24,53.7,83.7,B
Student_1073,student1073@example.com,Germany,8.11,33.76,71.71,46.08,A
Student_1074,student1074@example.com,USA,9.06,49.05,73.58,45.37,A
Student_1075,student1075@example.com,USA,9.17,74.75,57.05,51.33,A
Student_1076,student1076@example.com,UK,8.18,31.21,84.58,86.63,A
Student_1077,student1077@example.com,Japan,4.81,54.4,68.33,81.02,A
Student_1078,student1078@example.com,Canada,3.51,98.27,52.39,98.39,C
Student_1079,student1079@example.com,Japan,3.99,49.98,61.28,88.62,D
Student_1080,student1080@example.com,Germany,9.97,43.76,58.34,49.57,D
Student_1081,student1081@example.com,Brazil,7.43,41.13,53.3,79.84,C
Student_1082,student1082@example.com,UK,5.51,57.29,88.07,61.78,C
Student_1083,student1083@example.com,USA,6.94,64.49,87.48,73.29,C
Student_1084,student1084@example.com,Brazil,6.54,58.0,94.35,74.66,B
Student_1085,student1085@example.com,Australia,8.83,92.2,57.48,53.81,D
Student_1086,student1086@example.com,USA,1.97,62.27,56.66,95.92,C
Student_1087,student1087@example.com,Canada,8.53,40.95,88.06,52.96,D
Student_1088,student1088@example.com,Brazil,6.56,33.16,87.87,87.82,D
Student_1089,student1089@example.com,UK,7.15,42.2,87.17,89.2,B
Student_1090,student1090@example.com,UK,2.94,38.8,87.95,56.84,B
Student_1091,student1091@example.com,Japan,8.94,84.29,50.55,55.38,B
Student_1092,student1092@example.com,Canada,9.27,87.23,91.39,45.11,B
Student_1093,student1093@example.com,USA,5.88,35.81,77.43,67.64,A
Student_1094,student1094@example.com,Canada,7.49,98.68,99.33,89.98,C
Student_1095,student1095@example.com,UK,2.51,74.11,90.3,77.21,B
Student_1096,student1096@example.com,Australia,6.29,76.83,64.57,51.81,D
Student_1097,student1097@example.com,USA,3.72,51.31,69.95,75.82,C
Student_1098,student1098@example.com,Australia,4.01,87.82,81.19,84.68,A
Student_1099,student1099@example.com,Australia,6.25,50.58,87.71,68.13,D
Student_1100,student1100@example.com,India,6.08,70.07,93.92,44.95,C
Student_1101,student1101@example.com,UK,4.93,96.16,94.1,57.01,D
Student_1102,student1102@example.com,Canada,7.36,84.46,64.36,90.43,B
Student_1103,student1103@example.com,Canada,8.44,81.34,93.23,70.08,B
Student_1104,student1104@example.com,UK,5.36,50.37,94.71,47.97,A
Student_1105,student1105@example.com,Australia,2.34,32.13,57.49,58.89,A
Student_1106,student1106@example.com,UK,7.0,37.71,68.03,61.28,B
Student_1107,student1107@example.com,Australia,1.47,50.73,92.05,82.02,A
Student_1108,student1108@example.com,Canada,5.3,46.78,53.08,97.75,B
Student_1109,student1109@example.com,Brazil,5.08,93.91,73.5,43.45,A
Student_1110,student1110@example.com,Germany,9.64,45.06,63.79,53.9,B
Student_1111,student1111@example.com,USA,9.71,51.0,61.23,53.76,A
Student_1112,student1112@example.com,Australia,2.18,90.8,70.98,67.87,A
Student_1113,student1113@example.com,Japan,5.7,79.24,69.94,46.53,B
Student_1114,student1114@example.com,Japan,1.9,88.62,67.79,61.79,D
Student_1115,student1115@example.com,Brazil,9.06,96.93,91.6,72.46,B
Student_1116,student1116@example.com,Germany,9.21,51.8,61.44,75.59,B
Student_1117,student1117@example.com,Australia,8.27,90.18,80.35,52.58,C
Student_1118,student1118@example.com,Canada,7.14,48.09,90.05,84.91,C
